# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6846
#@/user_id	4267ddf1-3dbe-4b05-ba14-7f437c90ceff
a 	啊	c=43 d=1.75151 t=6237
ding zhen 	丁真	c=1 d=1 t=2518
diu 	丢	c=1 d=1 t=5625
dong 	动	c=0 d=0.1 t=3629
dong 	懂	c=1 d=1 t=2710
dong ci 	动次	c=1 d=1 t=5334
dong ci da ci 	动次大次	c=1 d=1 t=3189
dong hai 	东海	c=1 d=1 t=6093
dong hua 	东华	c=1 d=1 t=3344
dong hua 	动画	c=1 d=1 t=579
dong mai 	动脉	c=2 d=1.81058 t=206
dong tian 	冬天	c=3 d=1.63445 t=4348
dong tian gan zao 	冬天干燥	c=1 d=1 t=128
dong wu 	动物	c=1 d=1 t=1258
dong xi 	东西	c=8 d=1.00002 t=5755
dou 	抖	c=1 d=1 t=3994
dou 	斗	c=2 d=1.99005 t=6578
dou 	都	c=19 d=1.14255 t=6752
dou ban 	豆瓣	c=2 d=1 t=3526
dou bi 	都比	c=1 d=1 t=1363
dou bu 	都不	c=1 d=1 t=4057
dou bu cuo 	都不错	c=1 d=1 t=5359
dou bu xu yao 	都不需要	c=1 d=1 t=2004
dou bu yi yang 	都不一样	c=1 d=1 t=6242
dou fu 	豆腐	c=1 d=1 t=613
dou hui 	都会	c=1 d=1 t=5141
dou hui xi huan 	都会喜欢	c=1 d=1 t=951
dou ke yi 	都可以	c=1 d=1 t=4427
dou mei you 	都没有	c=1 d=1 t=1091
dou neng 	都能	c=3 d=1.92779 t=4001
dou shi 	都是	c=12 d=1.00415 t=6151
dou shou fei 	都收费	c=1 d=1 t=504
dou shuo 	都说	c=1 d=1 t=5152
dou shuo le 	都说了	c=1 d=1 t=6098
dou wu suo wei 	都无所谓	c=1 d=1 t=745
dou xing 	都行	c=1 d=1 t=3202
dou yao 	都要	c=3 d=1.00049 t=5766
dou yao zhua 	都要抓	c=1 d=1 t=2412
dou yin 	抖音	c=1 d=1 t=2310
dou you 	都有	c=1 d=1 t=4111
dou zai 	都在	c=1 d=1 t=1398
du 	嘟	c=2 d=1.93239 t=6780
du 	毒	c=1 d=1 t=4996
du 	读	c=1 d=0.773077 t=2679
du chang 	赌场	c=1 d=1 t=496
du de 	度的	c=1 d=1 t=403
du li 	独立	c=2 d=1.96561 t=1298
du qi 	肚脐	c=3 d=2.88412 t=3882
du wan 	读完	c=1 d=1 t=2572
du yan 	独眼	c=1 d=1 t=1251
du yin 	读音	c=1 d=1 t=4415
duan 	断	c=3 d=1.1028 t=6421
duan 	短	c=1 d=1 t=6841
duan 	端	c=2 d=1.8825 t=2366
duan ju 	短句	c=1 d=1 t=5954
duan shi jian 	短时间	c=1 d=1 t=2824
duan shi jian nei 	短时间内	c=1 d=1 t=2265
duan wang 	断网	c=1 d=1 t=6420
dui 	对	c=8 d=1.40803 t=6671
dui bu qi 	对不起	c=1 d=1 t=4703
dui hao ru zuo 	对号入座	c=1 d=1 t=4540
dui ni 	对你	c=0 d=0.1 t=4487
dui o 	对哦	c=1 d=1 t=2765
dui shou 	对手	c=1 d=1.09418 t=4050
dui shou de 	对手的	c=1 d=1 t=4039
dui ta 	对他	c=1 d=1 t=1827
dui xian 	兑现	c=1 d=1 t=3305
dui ya 	对呀	c=2 d=1 t=5379
dui zhe 	对着	c=0 d=0.1 t=1440
dui zhe zhou wei 	对着周围	c=1 d=1 t=1441
dui zi 	对子	c=1 d=1 t=990
dun 	蹲	c=1 d=0.1 t=6143
duo 	多	c=1 d=1 t=5424
duo gao 	多高	c=1 d=1 t=2144
duo hao 	多好	c=2 d=1.06995 t=3772
duo he 	多和	c=1 d=1 t=2758
duo jia 	多加	c=1 d=1 t=2332
duo le 	多了	c=1 d=1.00002 t=5237
duo lun duo 	多伦多	c=11 d=4.71523 t=3421
duo me 	多么	c=0 d=0.1 t=3586
duo me tong 	多么痛	c=1 d=1 t=3587
duo qi lai 	躲起来	c=1 d=1 t=6626
duo shao 	多少	c=1 d=0.1 t=5654
duo shao qian 	多少钱	c=1 d=1 t=4629
duo shao zhi 	多少只	c=1 d=1 t=1719
duo xiao hao 	多消耗	c=1 d=1 t=262
duo zao 	多早	c=1 d=1 t=3053
e 	额	c=1 d=1 t=6395
e jun 	俄军	c=1 d=1 t=5202
e su 	恶俗	c=1 d=1 t=3948
e wai 	额外	c=2 d=1 t=5587
e wen 	俄文	c=2 d=1.956 t=1822
e ye 	额叶	c=2 d=1.97045 t=2606
ei 	诶	c=11 d=2.57581 t=5438
en 	嗯	c=2 d=1.99501 t=2713
en 	恩	c=1 d=1 t=2739
en ya 	恩雅	c=1 d=1 t=2737
er 	二	c=1 d=1 t=2394
er 	儿	c=3 d=1.00008 t=2383
er ci yuan 	二刺螈	c=2 d=1.97045 t=4748
er ci yuan 	二次元	c=1 d=1 t=4732
er ji 	二级	c=1 d=1 t=2396
er jia 	二甲	c=1 d=1 t=2417
er qi 	二期	c=2 d=1.02548 t=5527
er qie 	而且	c=8 d=1.32234 t=6681
er shou 	二手	c=4 d=1.04528 t=5643
er xuan yi 	二选一	c=1 d=1 t=2445
er yi 	而已	c=10 d=1.00125 t=4561
er zhou mu 	二周目	c=2 d=1.70469 t=1408
er zi 	儿子	c=0 d=0.1 t=1051
er zi hao 	儿子好	c=1 d=1 t=1052
fa 	发	c=1 d=1 t=318
fa 	罚	c=2 d=1 t=5987
fa da 	发达	c=1 d=1 t=4234
fa guo 	发过	c=1 d=1 t=4530
fa ni 	罚你	c=2 d=1.48919 t=6714
fa sheng 	发生	c=1 d=1 t=6345
fa ting 	法庭	c=1 d=1 t=6196
fa xian 	发现	c=5 d=1.20601 t=4550
fa xian le 	发现了	c=1 d=1 t=2586
fa yan 	发炎	c=1 d=1 t=5623
fan 	凡	c=1 d=1 t=2900
fan 	番	c=1 d=1 t=1886
fan 	翻	c=1 d=1 t=5703
fan 	饭	c=1 d=1 t=3565
fan er 	反而	c=1 d=1 t=2018
fan fu 	反复	c=1 d=1 t=223
fan guo lai 	反过来	c=1 d=1 t=4839
fan hou 	饭后	c=2 d=1.16122 t=2304
fan wei 	范围	c=1 d=1 t=1980
fan xue 	番学	c=1 d=1 t=6277
fan yi 	翻译	c=2 d=1.97046 t=2817
fan yi chu lai 	翻译出来	c=1 d=1 t=1071
fan ying 	反应	c=1 d=1 t=6387
fan zhen 	藩镇	c=2 d=1.96561 t=1299
fan zheng 	反正	c=2 d=1 t=6348
fang 	房	c=1 d=1 t=1302
fang 	放	c=7 d=1.11505 t=6754
fang 	方	c=2 d=1.99501 t=4642
fang bu sheng fang 	防不胜防	c=1 d=1 t=4005
fang bu xia 	放不下	c=2 d=1.96561 t=4662
fang cang 	方舱	c=1 d=1 t=4607
fang chao 	防潮	c=1 d=1 t=857
fang fei 	房费	c=1 d=1 t=474
fang jia 	房价	c=1 d=1 t=4221
fang jian 	房间	c=1 d=1 t=534
fang jian li 	房间里	c=1 d=1 t=140
fang le 	放了	c=1 d=1 t=5659
fang qi 	放弃	c=1 d=0.272045 t=2269
fang shi 	方式	c=3 d=1.96235 t=4942
fang song 	放松	c=2 d=1.9783 t=2605
fang tan 	访谈	c=5 d=4.65808 t=4650
fang ti 	放提	c=2 d=1.16284 t=370
fang zai 	放在	c=1 d=1 t=6283
fang zu 	房租	c=2 d=1.00156 t=4220
fei 	肥	c=1 d=1 t=4458
fei 	肺	c=1 d=1 t=4977
fei 	费	c=1 d=1 t=2622
fei 	非	c=1 d=1 t=3440
fei 	飞	c=1 d=1 t=1751
fei che 	飞车	c=0 d=0.1 t=141
fei fei 	肥肥	c=2 d=1 t=3303
fei lv bin 	菲律宾	c=1 d=1 t=2329
fei yong 	费用	c=2 d=1.98511 t=1230
fei zao 	肥皂	c=1 d=1 t=6273
fen 	分	c=2 d=0.102682 t=5926
fen 	粉	c=3 d=2.87156 t=786
fen de 	分得	c=1 d=1 t=4724
fen de 	分的	c=0 d=0.1 t=4517
fen jie 	分解	c=1 d=1 t=620
fen kai 	分开	c=1 d=1 t=1372
fen mo 	粉末	c=1 d=1 t=5116
fen mu 	坟墓	c=1 d=1 t=77
fen se 	粉色	c=1 d=1 t=5915
fen xiang 	分享	c=1 d=1 t=1040
fen zhuang 	粉状	c=1 d=1 t=851
feng 	封	c=2 d=1.00008 t=2398
feng 	风	c=1 d=1 t=4774
feng ge 	风格	c=1 d=1 t=3949
feng he 	缝合	c=1 d=1 t=3767
feng men 	封门	c=1 d=1 t=2686
feng niu bing 	疯牛病	c=1 d=1 t=1157
feng xian 	风险	c=0 d=0.1 t=182
feng ye ka 	枫叶卡	c=2 d=1.03597 t=3241
feng ze 	丰泽	c=2 d=1.8781 t=5121
fu 	付	c=2 d=1.00001 t=2799
fu 	肤	c=1 d=1 t=5827
fu cong xing 	服从性	c=1 d=1 t=4937
fu gui 	富贵	c=1 d=1 t=6062
fu han 	富含	c=1 d=1 t=401
fu ke 	复刻	c=1 d=1 t=3788
fu po 	富婆	c=1 d=1 t=3545
fu rui 	福瑞	c=2 d=1 t=4992
fu wu 	服务	c=2 d=1.00434 t=5854
fu yu 	富裕	c=1 d=1 t=1210
fu zhu 	腐竹	c=2 d=1.956 t=1628
fu zong tong 	副总统	c=1 d=1 t=3909
fu zuo yong 	副作用	c=1 d=1 t=5885
ga 	噶	c=0 d=0.1 t=3517
gai 	改	c=5 d=1.1482 t=5214
gai bian 	改编	c=1 d=1 t=581
gai dao 	改到	c=0 d=0.1 t=1455
gai dao le 	改到了	c=1 d=1 t=1456
gai di zhi 	改地址	c=3 d=1.29989 t=5192
gai jin 	改进	c=1 d=1 t=316
gai jing 	该经	c=0 d=0.1 t=314
gai jing yi xia 	该经一下	c=1 d=1 t=315
gai le 	改了	c=2 d=1 t=4292
gai ming 	改名	c=1 d=1 t=335
gan 	咁	c=2 d=1.25666 t=4452
gan 	干	c=2 d=1.01259 t=6327
gan 	感	c=1 d=1 t=2107
gan 	敢	c=1 d=1 t=6830
gan 	甘	c=1 d=1 t=2987
gan 	肝	c=1 d=1 t=4401
gan bu gan 	干不干	c=1 d=1 t=5956
gan gan 	干干	c=1 d=1 t=6736
gan jue 	感觉	c=28 d=1.0282 t=6731
gan lan you 	橄榄油	c=1 d=1 t=767
gan qing 	感情	c=0 d=0.1 t=1123
gan sha 	干啥	c=1 d=1 t=5100
gan shen me 	干什么	c=1 d=1 t=1357
gan yang 	咁样	c=1 d=1 t=3495
gan zao 	干燥	c=0 d=0.1 t=127
gang 	刚	c=3 d=1.97046 t=5457
gang 	港	c=1 d=1 t=5891
gang bi 	港币	c=1 d=1 t=6496
gang chu de 	刚出的	c=1 d=1 t=1833
gang hao 	刚好	c=1 d=1 t=953
gang mai 	刚买	c=1 d=1 t=3480
gang nv 	港女	c=3 d=2.96042 t=4264
gang qu 	港区	c=1 d=1 t=1528
gang tie 	港铁	c=1 d=1 t=1912
gang wei 	岗位	c=1 d=1 t=4375
gao 	告	c=1 d=1 t=243
gao 	搞	c=3 d=1.99024 t=4088
gao 	高	c=5 d=1.01274 t=3028
gao bie 	告别	c=1 d=1 t=2935
gao da 	高达	c=2 d=1.99501 t=6024
gao dan bai 	高蛋白	c=1 d=1 t=2147
gao de 	高的	c=0 d=0.1 t=173
gao de di fang 	高的地方	c=1 d=1 t=1701
gao dian 	糕点	c=1 d=1 t=1615
gao du 	高度	c=1 d=1 t=6108
gao duan 	高端	c=1 d=1 t=4120
gao duo 	高多	c=0 d=0.1 t=3949
gao duo le 	高多了	c=1 d=1 t=3950
gao fei che 	高飞车	c=1 d=1 t=142
gao gong 	高攻	c=1 d=1.01182 t=6581
gao gong di fang 	高攻低放	c=1 d=1 t=6155
gao ji 	高级	c=2 d=1.0004 t=1761
gao le ge 	搞了个	c=1 d=1 t=1894
gao nai weng 	高乃翁	c=1 d=1 t=242
gao tong 	睾酮	c=1 d=1 t=2282
gao wan tong 	睾丸酮	c=1 d=1 t=1315
gao xiao 	高效	c=1 d=1 t=1485
ge 	个	c=11 d=1.00446 t=6390
ge 	割	c=2 d=1.00034 t=6075
ge 	各	c=1 d=1 t=6405
ge 	哥	c=1 d=1 t=4365
ge ci 	歌词	c=1 d=1 t=2836
ge dou 	格斗	c=2 d=1 t=5149
ge fang mian 	各方面	c=1 d=1 t=1362
ge ge 	各个	c=1 d=1 t=1370
ge ming 	歌名	c=1 d=1 t=932
ge qu 	各区	c=1 d=1 t=4988
ge ren 	个人	c=2 d=1.92774 t=2211
ge wei 	各位	c=1 d=1 t=3789
ge yue 	个月	c=0 d=0.1 t=2820
ge zhong 	个钟	c=1 d=1 t=2131
ge zhong 	各种	c=10 d=1.00053 t=6535
gei 	给	c=4 d=1.5543 t=5879
gei ni 	给你	c=4 d=1.00003 t=6816
gei ni de 	给你的	c=1 d=1 t=36
gei wo 	给我	c=5 d=1.0118 t=6065
gen 	根	c=3 d=1 t=5993
gen zhe 	跟着	c=1 d=1 t=3829
geng 	更	c=6 d=1.0002 t=6775
geng 	梗	c=1 d=1 t=4675
geng duo 	更多	c=1 d=1 t=3562
geng fang song 	更放松	c=1 d=1 t=2097
geng gai 	更改	c=1 d=1 t=3295
geng jian kang 	更健康	c=1 d=1.02554 t=413
geng leng 	更冷	c=1 d=1 t=4258
geng neng 	更能	c=2 d=1.97045 t=2604
geng qi guai le 	更奇怪了	c=1 d=1 t=1073
geng you 	更有	c=1 d=1 t=6562
gong 	供	c=1 d=1 t=657
gong 	宫	c=1 d=1 t=1146
gong cheng 	功成	c=2 d=1.97045 t=2819
gong fu 	共赴	c=0 d=0.1 t=1255
gong fu wu shan 	共赴巫山	c=1 d=1 t=1256
gong gong 	公共	c=2 d=1.96079 t=4232
gong ji 	攻击	c=1 d=1 t=3642
gong li 	公立	c=1 d=1 t=5256
gong li yi yuan 	公立医院	c=1 d=1 t=5253
gong lu 	公路	c=1 d=1 t=6186
gong lve 	攻略	c=1 d=1 t=3258
gong ren 	工人	c=1 d=1 t=3857
gong she 	公社	c=1 d=1 t=2649
gong si 	公司	c=4 d=1.00858 t=6419
gong wu 	公屋	c=1 d=1 t=5595
gong wu yuan 	公务员	c=1 d=1 t=2866
gong xue 	供血	c=1 d=1 t=4066
gong zheng 	公证	c=1 d=1 t=3679
gong zi 	工资	c=1 d=1 t=3197
gong zuo 	工作	c=9 d=2.02453 t=6333
gou 	够	c=5 d=1.22929 t=3554
gou 	狗	c=3 d=1 t=6061
gou ku 	够酷	c=0 d=0.1 t=5220
gou le 	够了	c=1 d=1 t=3827
gou tong 	沟通	c=1 d=1 t=5768
gou tou 	狗头	c=5 d=2.85665 t=986
gou wei 	狗尾	c=1 d=1 t=4191
gou wei xu diao 	狗尾续貂	c=1 d=1 t=3474
gu 	谷	c=1 d=1 t=4169
gu li 	鼓励	c=1 d=1 t=1447
gu piao 	股票	c=1 d=1 t=559
gu tou 	骨头	c=4 d=3.6232 t=4037
gua le 	挂了	c=1 d=1 t=802
guai 	怪	c=2 d=1 t=6832
guai guai 	乖乖	c=0 d=0.1 t=341
guai guai 	怪怪	c=1 d=1 t=4389
guai guai de 	乖乖的	c=1 d=1 t=4388
guai guai zuo hao 	乖乖坐好	c=1 d=1 t=342
guai qi 	怪气	c=1 d=1 t=4496
guai ren 	怪人	c=1 d=1 t=3012
guai shou 	怪兽	c=1 d=1 t=3741
guan 	官	c=1 d=1 t=1289
guan 	管	c=1 d=1.04176 t=729
guan 	馆	c=2 d=1.79852 t=190
guan fu yuan zhi 	官复原职	c=1 d=1 t=6001
guan jie 	关节	c=3 d=1 t=4053
guan qia 	关卡	c=2 d=1.96079 t=1379
guan xi 	关系	c=1 d=1 t=5120
guan yu 	关于	c=2 d=1.99005 t=5598
guang ming zheng da 	光明正大	c=1 d=1 t=5877
guang xi 	广西	c=1 d=1 t=1117
guang xian 	光纤	c=2 d=1.96561 t=3067
guang xian 	光线	c=1 d=1 t=1137
gui 	柜	c=2 d=1.9802 t=1429
gui 	贵	c=1 d=1 t=1869
gui bin 	贵宾	c=1 d=1 t=3402
gui bin shi 	贵宾室	c=1 d=1 t=3356
gui ding 	规定	c=2 d=1.00589 t=6030
gui fu 	贵妇	c=1 d=1 t=5809
gui lao 	鬼佬	c=1 d=1 t=6543
gui lv 	规律	c=1 d=1 t=1128
gui shan dao 	龟山岛	c=1 d=1 t=3293
guo 	果	c=1 d=1 t=2243
guo 	过	c=4 d=1.70186 t=3118
guo 	锅	c=1 d=1 t=573
guo an 	国安	c=0 d=0.1 t=6077
guo an chu 	国安处	c=1 d=1 t=6078
guo cheng 	过程	c=2 d=1.0025 t=6479
guo ji ge yue 	过几个月	c=1 d=1 t=2278
guo jia 	国家	c=2 d=1.00361 t=6115
guo jing 	国境	c=1 d=1 t=4855
guo le 	过了	c=0 d=0.1 t=2555
guo le ma 	过了吗	c=1 d=1 t=2556
guo min 	过敏	c=1 d=1 t=1310
guo mo ruo 	郭沫若	c=1 d=1 t=3960
guo nei 	国内	c=1 d=1 t=5778
guo qi 	过期	c=3 d=1 t=4853
guo qu 	过去	c=1 d=1 t=5469
guo ran 	果然	c=1 d=1 t=3278
guo zhi 	果汁	c=1 d=1 t=2230
ha te 	哈特	c=1 d=1 t=991
hai 	嗨	c=1 d=1 t=1486
hai 	还	c=11 d=1.1023 t=6381
hai hao 	还好	c=2 d=1.00878 t=2291
hai hao ma 	还好吗	c=1 d=1 t=561
hai jing 	海景	c=1 d=1 t=5594
hai nan 	海南	c=1 d=1 t=5896
hai neng 	还能	c=1 d=1 t=4092
hai pa 	还怕	c=1 d=1 t=1057
hai ren 	害人	c=1 d=1 t=4612
hai shi 	还是	c=22 d=1.0947 t=4949
hai wai 	海外	c=4 d=1.39259 t=6642
hai xie guo 	还写过	c=1 d=1 t=3622
hai xing 	还行	c=1 d=1 t=2183
hai yang 	海洋	c=1 d=1 t=5916
hai yao 	还要	c=3 d=1.00001 t=5319
hai yi wei 	还以为	c=0 d=0.1 t=2650
hai yong 	还用	c=1 d=1 t=6519
hai you 	还有	c=8 d=1.05137 t=5774
hai you shi jian 	还有时间	c=1 d=1 t=283
hai zai 	还在	c=2 d=1 t=5278
hai zai ma 	还在吗	c=1 d=1 t=655
hai zi 	孩子	c=1 d=1 t=5269
hai zong 	海总	c=2 d=1 t=3682
han 	憨	c=1 d=1 t=3521
han 	汗	c=1 d=1 t=3519
han 	涵	c=1 d=1 t=5502
han bao 	汉堡	c=1 d=1 t=3771
han bo 	汉帛	c=0 d=0.1 t=3517
han bo ga 	汉帛噶	c=1 d=1 t=3518
han he 	汉和	c=1 d=1 t=381
hao 	号	c=1 d=1 t=16
hao 	好	c=24 d=1.00839 t=6527
hao a 	好啊	c=2 d=1.99501 t=3142
hao ba 	好吧	c=3 d=1.00092 t=1920
hao cai 	好彩	c=2 d=1.99005 t=4453
hao can 	好惨	c=1 d=1 t=1089
hao chi 	好吃	c=1 d=1 t=6727
hao chi de 	好吃的	c=0 d=0.1 t=2831
hao chu 	好处	c=1 d=1 t=1385
hao da 	好大	c=1 d=1 t=3444
hao de 	好的	c=1 d=1 t=5677
hao dian 	好点	c=1 d=1 t=3736
hao diao 	好屌	c=3 d=1.05866 t=5046
hao duo 	好多	c=5 d=1.41437 t=5316
hao duo ci 	好多次	c=1 d=1 t=2464
hao duo le 	好多了	c=1 d=1 t=1364
hao duo ren 	好多人	c=1 d=1 t=5618
hao guai 	好怪	c=1 d=1 t=6166
hao gui 	好贵	c=1 d=1 t=152
hao hai zi 	好孩子	c=1 d=1 t=3336
hao hao 	好好	c=1 d=1 t=5048
hao hao hao 	好好好	c=1 d=1 t=1060
hao hao wan 	好好玩	c=3 d=1.23221 t=5488
hao he 	好喝	c=2 d=1.00001 t=4370
hao hen duo 	好很多	c=1 d=1 t=885
hao ji ge 	好几个	c=1 d=1 t=444
hao ji zhong 	好几种	c=1 d=1 t=5572
hao jie mei 	好姐妹	c=2 d=1.47951 t=6073
hao jiu 	好久	c=1 d=1 t=6385
hao kan 	好看	c=2 d=1.00671 t=3783
hao ke ai 	好可爱	c=2 d=1 t=6518
hao ke pa 	好可怕	c=2 d=1 t=4130
hao ku 	好酷	c=6 d=1.31092 t=5592
hao ku le liang 	好酷了两	c=1 d=1 t=2738
hao kun 	好困	c=1 d=1 t=3905
hao le 	好了	c=3 d=1 t=6410
hao lei 	好累	c=1 d=1 t=2896
hao li hai 	好厉害	c=2 d=1 t=6790
hao ma 	号码	c=2 d=1.00013 t=3389
hao qi 	好奇	c=0 d=0.1 t=361
hao qiao 	好巧	c=1 d=1 t=5112
hao qing nian 	好青年	c=1 d=1 t=4455
hao ren 	好人	c=1 d=1 t=3011
hao sheng 	毫升	c=1 d=1 t=6677
hao shuai 	好帅	c=1 d=1 t=2647
hao si 	好似	c=1 d=1 t=1868
hao teng 	好疼	c=1 d=1 t=4126
hao tong 	好痛	c=1 d=1 t=2993
hao wan 	好玩	c=6 d=1.31942 t=5224
hao wan de 	好玩的	c=3 d=0.100043 t=6151
hao wan ya 	好玩呀	c=1 d=1 t=2944
hao wu liao 	好无聊	c=1 d=1 t=5620
hao xiang 	好像	c=22 d=1.34694 t=6408
hao xiang 	好想	c=2 d=1.22993 t=3784
hao ye 	好耶	c=2 d=1.0185 t=3471
hao yi dian 	好一点	c=0 d=0.1 t=5778
hao yong 	好用	c=2 d=1.98511 t=5236
hao you 	耗油	c=1 d=1 t=1502
hao you chuang yi 	好有创意	c=1 d=1 t=3989
hao you xi 	好游戏	c=0 d=0.1 t=1091
hao you xi wan 	好游戏玩	c=1 d=1 t=1092
he 	何	c=1 d=1 t=6825
he 	和	c=46 d=3.0312 t=6822
he 	喝	c=11 d=1.30801 t=6686
he 	核	c=1 d=1 t=598
he ge 	合格	c=1 d=1 t=3794
he jiu 	喝酒	c=1 d=1 t=4470
he ka fei 	喝咖啡	c=1 d=1 t=1649
he le 	喝了	c=1 d=1 t=3902
he li huo 	荷里活	c=1 d=1 t=666
he ren 	和人	c=1 d=1 t=4252
he tao 	核桃	c=1 d=1 t=1961
he xian 	和弦	c=3 d=2.2361 t=1933
he xin 	核心	c=1 d=1 t=5056
he yue 	合约	c=1 d=1 t=5543
he zu 	合租	c=2 d=1.00667 t=4253
hei 	黑	c=2 d=1.02226 t=4967
hei dai 	黑带	c=1 d=1 t=214
hei he 	黑盒	c=1 d=1 t=5349
hei lia 	黑俩	c=1 d=0.427915 t=6622
hen 	很	c=5 d=1.01962 t=5787
hen bao 	很薄	c=1 d=1 t=5814
hen cha 	很差	c=2 d=1.94176 t=4737
hen di 	很低	c=1 d=1 t=2254
hen duo 	很多	c=6 d=1.68321 t=6375
hen gui yi 	很诡异	c=1 d=1 t=4373
hen hao 	很好	c=1 d=1.00276 t=5235
hen hao chi 	很好吃	c=1 d=1 t=1953
hen hao chi de 	很好吃的	c=1 d=1 t=2832
hen hao de 	很好的	c=2 d=1.51685 t=5061
hen hao fen de 	很好分的	c=1 d=1 t=4518
hen hao wan 	很好玩	c=0 d=0.1 t=666
hen hao wan de yang zi 	很好玩的样子	c=1 d=1 t=667
hen hua suan 	很划算	c=1 d=1 t=3204
hen ji 	痕迹	c=1 d=1 t=5823
hen jiu 	很久	c=2 d=1.00003 t=6384
hen kao yan 	很考验	c=1 d=1 t=267
hen ke pa 	很可怕	c=1 d=1 t=5708
hen ku 	很酷	c=1 d=1 t=5785
hen kuai 	很快	c=2 d=1.04285 t=4004
hen liao jie 	很了解	c=1 d=1 t=5696
hen mo hu 	很模糊	c=1 d=1 t=4583
hen nan 	很难	c=1 d=1 t=2043
hen rong yi 	很容易	c=0 d=0.1 t=2015
hen rong yi a 	很容易啊	c=1 d=1 t=2016
hen shen qi 	很神奇	c=1 d=1 t=4010
hen shuai 	很帅	c=1 d=1 t=4008
hen shuang 	很爽	c=0 d=0.1 t=4040
hen xi huan 	很喜欢	c=2 d=1.94176 t=3616
heng 	横	c=2 d=1.98511 t=5911
heng sheng 	恒生	c=6 d=3.84022 t=6650
heng zhe 	横着	c=0 d=0.1 t=2677
heng zhe du 	横着读	c=1 d=1 t=2678
hong 	红	c=3 d=1.01317 t=5832
hong jin bao 	洪金宝	c=1 d=1 t=4454
hong mu 	红木	c=1 d=1 t=3699
hong tuo 	烘托	c=1 d=1 t=5294
hong zun 	虹鳟	c=1 d=1 t=2531
hou 	厚	c=2 d=1 t=5021
hou 	后	c=10 d=2.03438 t=6194
hou jie 	喉结	c=1 d=1 t=4075
hou long tong 	喉咙痛	c=1 d=1 t=1937
hou wei 	后卫	c=1 d=1 t=4533
hou yi ge 	后一个	c=1 d=1 t=5974
hou yi zheng 	后遗症	c=1 d=1 t=6087
hou zhe 	后者	c=1 d=1 t=4067
hu 	胡	c=1 d=1 t=5507
hu chi 	互斥	c=0 d=0.1 t=2388
hu kou 	户口	c=1 d=1 t=648
hu li 	狐狸	c=1 d=1 t=4194
hu ou 	互殴	c=1 d=1 t=1776
hu xiang 	互相	c=3 d=1.00321 t=6772
hu zhao 	护照	c=9 d=1 t=5946
hua 	话	c=1 d=0.100797 t=4859
hua er bu shi 	华而不实	c=1 d=1 t=279
hua shi jian 	花时间	c=1 d=1 t=841
hua yuan 	花园	c=3 d=1.99592 t=5526
huai 	坏	c=1 d=1 t=4520
huai 	怀	c=1 d=1 t=4683
huai le 	坏了	c=3 d=1.00009 t=6365
huan 	换	c=5 d=1.00281 t=6636
huan bao 	环保	c=1 d=1 t=6791
huan cheng 	换成	c=1 d=1 t=4289
huan dao 	环岛	c=1 d=1 t=5471
huan jue 	幻觉	c=0 d=0.1 t=2102
huan lai 	还来	c=1 d=1 t=3754
huan le 	换了	c=2 d=1.97531 t=5302
huan ya 	环亚	c=1 d=1 t=3357
huan zhe 	患者	c=1 d=1 t=5670
huan zhe 	换着	c=1 d=1 t=5577
huan zhe kou wei 	换着口味	c=1 d=1 t=757
huang 	黄	c=1 d=1 t=1061
huang jia 	皇家	c=1 d=1 t=436
hui 	会	c=27 d=3.26432 t=6438
hui 	毁	c=1 d=1 t=1333
hui bu hui 	会不会	c=1 d=1 t=1709
hui chi fang qiu 	挥斥方遒	c=1 d=1 t=4706
hui feng 	汇丰	c=2 d=1.31506 t=3529
hui fu 	回复	c=1 d=1 t=6367
hui guo 	回国	c=1 d=1 t=4854
hui hen 	会很	c=0 d=0.1 t=3745
hui hen shu fu 	会很舒服	c=1 d=1 t=3746
hui ji 	会籍	c=1 d=1 t=6083
hui lai le 	回来了	c=1 d=1 t=1905
hui shou 	回收	c=4 d=1.00216 t=3292
hui shuo 	会说	c=1 d=1 t=4260
hui wu hui 	会唔会	c=1 d=1 t=4183
hui you 	会有	c=1 d=0.103571 t=2651
hui you dian 	会有点	c=1 d=1 t=4076
hui you ge 	会有个	c=1 d=1 t=2652
hun yin 	混音	c=1 d=1 t=1768
hun zai 	混在	c=1 d=1 t=4739
huo 	或	c=1 d=1 t=185
huo 	货	c=1 d=1 t=2974
huo de 	获得	c=1 d=1 t=5174
huo dong 	活动	c=1 d=1 t=2602
huo gai 	活该	c=1 d=1 t=3577
huo guo 	火锅	c=1 d=1 t=5497
huo zhe 	或者	c=8 d=1.02032 t=4906
ji 	几	c=2 d=1.38674 t=3500
ji 	及	c=2 d=1.02096 t=1943
ji 	吉	c=2 d=1.78663 t=5293
ji 	姬	c=1 d=1 t=323
ji 	急	c=1 d=1 t=4664
ji 	技	c=3 d=1.00399 t=5150
ji 	机	c=1 d=1 t=2716
ji 	级	c=1 d=1 t=6116
ji 	鸡	c=3 d=1.12139 t=5928
ji ben 	几本	c=3 d=1.10294 t=4239
ji ben 	基本	c=3 d=1.01175 t=5140
ji ben shang 	基本上	c=1 d=1 t=760
ji can 	几餐	c=1 d=1 t=2169
ji ci 	几次	c=1 d=1 t=872
ji de 	记得	c=2 d=1.03763 t=4303
